0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
0;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;4;4;4;5;5;5
1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;4;5;5;5;5;6;6;6;6
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
0;0;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;5;5;6
1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;4;4;4;4;4;5;5;5;5;6;6;6;6;6;7
1;1;2;2;2;2;2;2;3;3;3;3;3;3;4;4;4;4;4;5;5;5;5;6;6;6;6;6;7;7
2;2;2;2;3;3;3;3;4;4;4;4;4;5;5;5;5;5;6;6;6;6;7;7;7;7;7;8;8;8
2;2;2;3;3;3;3;4;4;4;4;4;5;5;5;5;5;6;6;6;6;7;7;7;7;7;7;8;8;8
3;3;3;3;3;3;3;3;4;4;4;5;5;5;5;5;6;6;6;6;7;7;7;7;7;7;7;7;7;7
3;3;3;3;3;3;3;3;4;4;4;5;5;5;5;5;6;6;6;6;7;7;7;7;7;7;7;7;7;7
3;3;3;3;3;3;3;3;4;4;4;5;5;5;5;5;6;6;6;6;7;7;7;7;7;7;7;7;7;7
3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;5;5;5;5;5;5;6;6;6;6;7;7;7;8;9
